# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
A1CF	unnamed (+232350)
KIDINS220	unnamed (-147375), unnamed (-145250), unnamed (+46625)
KIF13B	unnamed (+257748), unnamed (+271123), unnamed (+279673)
KIF15	unnamed (+38483)
KIF16B	unnamed (+532633)
KIF20A	unnamed (+9052)
KIF20B	unnamed (+4633), unnamed (+35508), unnamed (+38233), unnamed (+38658)
KIF21B	unnamed (+13250), unnamed (+24975), unnamed (+31025), unnamed (+34075), unnamed (+39225), unnamed (+48625)
KIF23	unnamed (+28204), unnamed (+29529)
KIF24	unnamed (+70921)
KIF26A	unnamed (+248152), unnamed (+253152), unnamed (+254302), unnamed (+255652)
KIF2A	unnamed (-771752), unnamed (-632577), unnamed (+25573)
KIF3B	unnamed (+9536)
KIF5B	unnamed (+33031)
KIF5C	unnamed (-216175), unnamed (-158450)
KIF6	unnamed (+230), unnamed (+195005)
KIFC1	unnamed (+12839)
KIRREL1	unnamed (+169490)
KIRREL3	unnamed (+584009)
KIT	unnamed (+30232), unnamed (+31007), unnamed (+70857), unnamed (+284882)
KITLG	unnamed (-765714)
KL	unnamed (-324858), unnamed (-281483)
KLB	unnamed (+41197)
KLC1	unnamed (+51534), unnamed (+57909), unnamed (+71859), unnamed (+77009)
KLF10	unnamed (+70152)
KLF12	unnamed (-98451), unnamed (-96526), unnamed (-80951), unnamed (-71951), unnamed (-70326), unnamed (-69301), unnamed (-66251), unnamed (-34326), unnamed (-33226), unnamed (-30626), unnamed (-3576), unnamed (-2926), unnamed (+324), unnamed (+6049), unnamed (+9274), unnamed (+15124), unnamed (+19249), unnamed (+21649), unnamed (+22849), unnamed (+23524), unnamed (+26099), unnamed (+37249), unnamed (+39174), unnamed (+51324), unnamed (+91874), unnamed (+142974), unnamed (+144349), unnamed (+158799), unnamed (+301724), unnamed (+302149), unnamed (+311074)
KLF13	unnamed (-109030), unnamed (-107230), unnamed (-104505), unnamed (-103305), unnamed (-101330), unnamed (-97905), unnamed (-96255), unnamed (-87580), unnamed (-70855), unnamed (-69830), unnamed (-26255), unnamed (-24730), unnamed (-2655), unnamed (+8695), unnamed (+9720), unnamed (+11045), unnamed (+44370), unnamed (+46070), unnamed (+47095), unnamed (+48370), unnamed (+49120), unnamed (+56195), unnamed (+110320), unnamed (+113695), unnamed (+132770)
KLF14	unnamed (-498239)
KLF17	unnamed (-92725)
KLF3	unnamed (-617271), unnamed (-617021), unnamed (-356946), unnamed (-345896), unnamed (-160171), unnamed (+95254)
KLF4	unnamed (+161696), unnamed (+182046)
KLF5	unnamed (+625183), unnamed (+634108), unnamed (+634533), unnamed (+777458), unnamed (+791908), unnamed (+793283), unnamed (+844383), unnamed (+884933), unnamed (+897083), unnamed (+899008), unnamed (+910158), unnamed (+912733), unnamed (+913408), unnamed (+914608), unnamed (+917008), unnamed (+921133), unnamed (+926983), unnamed (+930208)
KLF6	unnamed (-351200), unnamed (-345725), unnamed (-336975), unnamed (+300925)
KLF9	unnamed (+67874)
KLHDC10	unnamed (+43815)
KLHDC4	unnamed (+48324), unnamed (+62749)
KLHL10	unnamed (+12845)
KLHL11	unnamed (+14806)
KLHL14	unnamed (-201038), unnamed (-29163), unnamed (-27913)
KLHL24	unnamed (-43673)
KLHL25	unnamed (+77955), unnamed (+304305), unnamed (+320630), unnamed (+338930)
KLHL29	unnamed (+311958)
KLHL32	unnamed (+338346)
KLHL35	unnamed (-89596), unnamed (-88496), unnamed (-87796), unnamed (-84721), unnamed (-83996), unnamed (-62096), unnamed (-45371), unnamed (-44596), unnamed (+9054)
KLHL40	unnamed (-25044)
KLHL42	unnamed (+41805), unnamed (+43330), unnamed (+44905)
KLHL5	unnamed (-382), unnamed (+23993), unnamed (+26768), unnamed (+27793)
KLHL6	unnamed (-36261), unnamed (+10039), unnamed (+52714)
KLK1	unnamed (+6109)
KLLN	unnamed (-469663), unnamed (-164788), unnamed (-80313), unnamed (-75488), unnamed (-74388), unnamed (-60413), unnamed (-4763), unnamed (-3563)
KLRF1	unnamed (+39669)
KLRG2	unnamed (+52037)
KMT2A	unnamed (-29940), unnamed (-26365), unnamed (-20640)
KMT2C	unnamed (-228895), unnamed (+33330), unnamed (+43505), unnamed (+99405), unnamed (+267480), unnamed (+274355), unnamed (+275380), unnamed (+282930)
KMT2D	unnamed (+21899)
KMT2E	unnamed (+290196)
KPNA2	unnamed (-55410), unnamed (+188640)
KPNA3	unnamed (+60521)
KPNB1	unnamed (+25962)
KRAS	unnamed (-208947)
KRBA1	unnamed (+13739), unnamed (+19864)
KRT78	unnamed (-21606)
KRT8	unnamed (+55869)
KRT80	unnamed (+117400), unnamed (+118250)
KRT83	unnamed (-37802), unnamed (-36952)
KRT85	unnamed (+8281), unnamed (+9131)
KRTAP10-1	unnamed (+36095), unnamed (+37045)
KRTAP10-3	unnamed (-6440)
KRTAP10-4	unnamed (-8529)
KRTAP16-1	unnamed (-522)
KRTAP4-11	unnamed (-2265), unnamed (+9785)
KRTAP4-9	unnamed (+3243)
KSR1	unnamed (-171960), unnamed (+2590)
KTN1	unnamed (+34033), unnamed (+79483), unnamed (+110558), unnamed (+111533), unnamed (+285433)
KYAT3	unnamed (+7746), unnamed (+14821)
KYNU	unnamed (-691598), unnamed (-6723), unnamed (-4523), unnamed (+1502), unnamed (+3502), unnamed (+15427), unnamed (+37927), unnamed (+38877), unnamed (+62852), unnamed (+97077), unnamed (+100702), unnamed (+101952), unnamed (+103752), unnamed (+243852)
L3MBTL2	unnamed (+11720)
L3MBTL3	unnamed (+100851), unnamed (+102476)
L3MBTL4	unnamed (+406358)
LACC1	unnamed (-1834)
LACTB2	unnamed (+17857), unnamed (+27157)
LAMA2	unnamed (+222378)
LAMA3	unnamed (+174807), unnamed (+177107), unnamed (+331132), unnamed (+359857), unnamed (+364882), unnamed (+404707), unnamed (+405132), unnamed (+425957)
LAMC1	unnamed (+47590)
LAMC2	unnamed (-115238)
LAMTOR3	unnamed (+29915), unnamed (+32065), unnamed (+40440), unnamed (+41240), unnamed (+42140), unnamed (+43890), unnamed (+49215), unnamed (+50640), unnamed (+52165), unnamed (+60865), unnamed (+75390)
LANCL1	unnamed (+13064), unnamed (+14689), unnamed (+16814), unnamed (+20064), unnamed (+33864)
LAP3	unnamed (+23058)
LAPTM4A	unnamed (-101172), unnamed (+13903)
LAPTM4B	unnamed (-65732), unnamed (+1143)
LARGE1	unnamed (-79), unnamed (+23421), unnamed (+24671), unnamed (+66346), unnamed (+78171), unnamed (+343196), unnamed (+351521), unnamed (+396771), unnamed (+400271), unnamed (+594571), unnamed (+599221), unnamed (+619146), unnamed (+620546), unnamed (+647921)
LARP1B	unnamed (-68018)
LARP4B	unnamed (+53905)
LARP7	unnamed (-3726)
LARS	unnamed (+16960)
LARS2	unnamed (+109714)
LASP1	unnamed (+43316)
LAT2	unnamed (+2907), unnamed (+3307), unnamed (+4382), unnamed (+5807), unnamed (+12007), unnamed (+14982), unnamed (+16082), unnamed (+27032), unnamed (+30607), unnamed (+32282), unnamed (+33982), unnamed (+37532)
LBP	unnamed (+102544)
LBR	unnamed (-52045), unnamed (-50395), unnamed (-12520), unnamed (-7395), unnamed (-5495), unnamed (-395), unnamed (+3105), unnamed (+4180), unnamed (+5305), unnamed (+15305), unnamed (+24980)
LCAT	unnamed (-3919)
LCOR	unnamed (-253234), unnamed (-242684), unnamed (-224959), unnamed (-222734), unnamed (-198059), unnamed (-191359)
LCORL	unnamed (+198235)
LCP1	unnamed (+45373), unnamed (+81173)
LCT	unnamed (+93405)
LCTL	unnamed (-52203)
LDB3	unnamed (+2901)
LDHAL6B	unnamed (-1848), unnamed (+30452), unnamed (+57052), unnamed (+82777)
LDLR	unnamed (-119187), unnamed (-53862)
LDLRAD3	unnamed (-260178)
LDLRAD4	unnamed (-285553), unnamed (-279153), unnamed (-265553), unnamed (-262928), unnamed (-251278), unnamed (-247828), unnamed (-241328), unnamed (-231928), unnamed (-230928), unnamed (-230353), unnamed (-229678), unnamed (-228978), unnamed (-212153), unnamed (-210703), unnamed (-208903), unnamed (-206278), unnamed (-187103), unnamed (-184378), unnamed (-183753), unnamed (-181103), unnamed (-164053), unnamed (-162453)
LEF1	unnamed (-388678), unnamed (-374228)
LEFTY1	unnamed (-27654)
LENEP	unnamed (-4963)
LEP	unnamed (-169259), unnamed (-166859), unnamed (-163584), unnamed (-162409), unnamed (-155659), unnamed (-154034), unnamed (-152009), unnamed (-148534)
LGALS3	unnamed (-59944), unnamed (-55169)
LGALS8	unnamed (+6902), unnamed (+28027), unnamed (+70802)
LGALS9	unnamed (-155198)
LGI2	unnamed (+204)
LGSN	unnamed (-32998)
LHFPL2	unnamed (-197575), unnamed (-177950), unnamed (-176575), unnamed (-175800)
LHX1	unnamed (-215875)
LHX2	unnamed (+126365), unnamed (+195390), unnamed (+199340), unnamed (+199965), unnamed (+202590)
LIAS	unnamed (-10537)
LIG1	unnamed (+12103), unnamed (+15478), unnamed (+16178), unnamed (+47728), unnamed (+48503), unnamed (+51303)
LIMA1	unnamed (+61706), unnamed (+62231)
LIMD1	unnamed (-96584)
LIMD2	unnamed (+32915), unnamed (+35465)
LIMK1	unnamed (+15060), unnamed (+15385), unnamed (+23335), unnamed (+37660)
LIMK2	unnamed (+21913)
LIN9	unnamed (-85242), unnamed (-81792), unnamed (-80717), unnamed (-76217), unnamed (-67592), unnamed (-50842), unnamed (-48142), unnamed (-47317), unnamed (-25917), unnamed (+40958), unnamed (+54283)
LINC00672	unnamed (-11993)
LINGO1	unnamed (-419435), unnamed (-401460), unnamed (-399710), unnamed (-374760)
LINGO3	unnamed (-27401)
LIPE	unnamed (+5701)
LIPI	unnamed (+84599), unnamed (+86074), unnamed (+123249)
LIX1	unnamed (+134872)
LLPH	unnamed (-932)
LMAN2	unnamed (+17877)
LMBR1	unnamed (+27430), unnamed (+60580), unnamed (+61330), unnamed (+61880), unnamed (+63380), unnamed (+119230)
LMBRD1	unnamed (+21611)
LMCD1	unnamed (-507), unnamed (+243), unnamed (+2543)
LMNB1	unnamed (+28052), unnamed (+58102)
LMNB2	unnamed (+1746), unnamed (+3396)
LMNTD1	unnamed (+93533)
LMO1	unnamed (-79567)
LMO4	unnamed (-286343), unnamed (+259132), unnamed (+484957), unnamed (+536232), unnamed (+543157), unnamed (+544832), unnamed (+565507)
LMTK2	unnamed (+93315)
LMTK3	unnamed (+38664)
LMX1B	unnamed (+757)
LNPEP	unnamed (+72536)
LNX1	unnamed (-156334), unnamed (-153234), unnamed (+134841), unnamed (+134991), unnamed (+155366), unnamed (+168516)
LONRF1	unnamed (-85835)
LOXL4	unnamed (+99450)
LPAR6	unnamed (-86021)
LPCAT1	unnamed (+8577), unnamed (+35702), unnamed (+37577), unnamed (+40102)
LPCAT4	unnamed (+4603)
LPIN1	unnamed (+68530), unnamed (+70055), unnamed (+71605), unnamed (+73155), unnamed (+73805), unnamed (+92630), unnamed (+97755), unnamed (+368905), unnamed (+432330), unnamed (+433105), unnamed (+594630), unnamed (+809830), unnamed (+824230), unnamed (+867105), unnamed (+935030), unnamed (+935455)
LPIN3	unnamed (-34497)
LPL	unnamed (-103346), unnamed (-102271), unnamed (-101296), unnamed (-97621), unnamed (-97046), unnamed (-93546)
LPP	unnamed (+512967)
LPXN	unnamed (+14041), unnamed (+25891)
LRBA	unnamed (+231597)
LRCH1	unnamed (+3465), unnamed (+4040), unnamed (+13065), unnamed (+13890), unnamed (+15990), unnamed (+17240), unnamed (+19215), unnamed (+21390), unnamed (+21765), unnamed (+22790), unnamed (+27515), unnamed (+28090), unnamed (+30140), unnamed (+31265), unnamed (+34465), unnamed (+38090), unnamed (+41315), unnamed (+43690), unnamed (+45715), unnamed (+47415), unnamed (+48815), unnamed (+52040), unnamed (+57940), unnamed (+59240), unnamed (+62815), unnamed (+65140), unnamed (+66565), unnamed (+67765), unnamed (+69465), unnamed (+71765), unnamed (+74365), unnamed (+77440), unnamed (+94440), unnamed (+99715), unnamed (+101790), unnamed (+103665), unnamed (+105015), unnamed (+107965), unnamed (+110165), unnamed (+111815), unnamed (+122015), unnamed (+124640), unnamed (+125440), unnamed (+130615), unnamed (+131515), unnamed (+135140), unnamed (+147240), unnamed (+148565), unnamed (+149965), unnamed (+152740), unnamed (+153965), unnamed (+155940), unnamed (+156565), unnamed (+160265), unnamed (+160715), unnamed (+165665), unnamed (+187515)
LRCH3	unnamed (-21124), unnamed (-18699), unnamed (-17824), unnamed (-8149), unnamed (-5774)
LRGUK	unnamed (-652149), unnamed (-651649)
LRIG1	unnamed (+3457), unnamed (+10557), unnamed (+27957)
LRIG2	unnamed (+118816)
LRIG3	unnamed (-699953)
LRMP	unnamed (-120337)
LRP1B	unnamed (-739074), unnamed (-54199)
LRP2	unnamed (+262060), unnamed (+281785), unnamed (+290060)
LRP2BP	unnamed (+37398), unnamed (+46323), unnamed (+113273), unnamed (+115223)
LRP8	unnamed (+6389), unnamed (+42139), unnamed (+51914), unnamed (+81589)
LRPAP1	unnamed (+31934), unnamed (+45409), unnamed (+46409), unnamed (+48509)
LRPPRC	unnamed (+6630), unnamed (+64305)
LRRC1	unnamed (+122820)
LRRC18	unnamed (-39443), unnamed (-36643), unnamed (-19868), unnamed (-3543), unnamed (+19832), unnamed (+45307), unnamed (+48707), unnamed (+57057), unnamed (+81157), unnamed (+157032), unnamed (+196757), unnamed (+199357), unnamed (+224707)
LRRC28	unnamed (+225738), unnamed (+244688), unnamed (+250738), unnamed (+252413), unnamed (+253888), unnamed (+259638)
LRRC3	unnamed (-31836), unnamed (+47664), unnamed (+48614)
LRRC37A3	unnamed (-51615), unnamed (-49740), unnamed (-48690), unnamed (-47990)
LRRC3B	unnamed (+735844), unnamed (+737294)
LRRC3C	unnamed (+7326)
LRRC4	unnamed (-61680), unnamed (-58205), unnamed (-56180), unnamed (-54555), unnamed (-47805), unnamed (-46630), unnamed (-43355), unnamed (-40955), unnamed (+32695), unnamed (+101620), unnamed (+103495), unnamed (+118595), unnamed (+139420), unnamed (+161545), unnamed (+201595), unnamed (+202270), unnamed (+208070), unnamed (+210245), unnamed (+221495), unnamed (+286045), unnamed (+326045), unnamed (+336995), unnamed (+338445), unnamed (+340220), unnamed (+341295), unnamed (+345870), unnamed (+346620)
LRRC41	unnamed (+14683), unnamed (+24408)
LRRC70	unnamed (-84460), unnamed (-83935)
LRRC8C	unnamed (+28728), unnamed (+37128), unnamed (+60178), unnamed (+73253), unnamed (+86353)
LRRC8D	unnamed (-159232), unnamed (-150832), unnamed (-127782), unnamed (-114707), unnamed (-101607)
LRRFIP1	unnamed (+3361), unnamed (+45936), unnamed (+60586)
LRRK1	unnamed (+31185), unnamed (+57285), unnamed (+137810), unnamed (+141960), unnamed (+144560), unnamed (+327985)
LRRK2	unnamed (-32949), unnamed (-31249), unnamed (+38151)
LRRN1	unnamed (+264138), unnamed (+265888)
LRSAM1	unnamed (+39837)
LRTM2	unnamed (-103692), unnamed (-45992)
LSAMP	unnamed (-441094)
LSG1	unnamed (+1502), unnamed (+32227)
LSM14A	unnamed (+27734), unnamed (+159734)
LSM14B	unnamed (+7018)
LSM6	unnamed (-134360), unnamed (+12240), unnamed (+283015)
LSM7	unnamed (-2905), unnamed (+9195)
LSM8	unnamed (-4432)
LSP1	unnamed (+13235)
LSS	unnamed (-26451), unnamed (-24576), unnamed (-18126), unnamed (+9249)
LTA4H	unnamed (-109014), unnamed (-108439), unnamed (-107889), unnamed (-72364), unnamed (-67764), unnamed (-26814)
LTBP1	unnamed (+328), unnamed (+147453)
LTBP4	unnamed (+43740)
LTN1	unnamed (+10056), unnamed (+39431)
LUC7L2	unnamed (+71767)
LUC7L3	unnamed (+1526)
LUZP1	unnamed (+146108)
LVRN	unnamed (+131), unnamed (+76406)
LY6G5C	unnamed (-12673)
LY75	unnamed (+13335), unnamed (+72385)
LY86	unnamed (+7317), unnamed (+33267)
LY9	unnamed (+40892)
LY96	unnamed (+58023)
LYPD4	unnamed (+41898)
LYPD6B	unnamed (+558)
LYPLA1	unnamed (+1292), unnamed (+29917), unnamed (+33067), unnamed (+47567)
LYPLAL1	unnamed (-83369), unnamed (+1631), unnamed (+2581), unnamed (+3281), unnamed (+11981), unnamed (+13531), unnamed (+14206), unnamed (+15006), unnamed (+16381)
LYRM2	unnamed (-52697), unnamed (-50822), unnamed (-36022), unnamed (+41353), unnamed (+41753)
LYRM4	unnamed (+119687), unnamed (+120137), unnamed (+127762), unnamed (+164012), unnamed (+165312), unnamed (+176087)
LYSMD4	unnamed (+15446), unnamed (+16521), unnamed (+23446), unnamed (+29746), unnamed (+40146), unnamed (+57221), unnamed (+59046), unnamed (+60421), unnamed (+74521), unnamed (+75521), unnamed (+104671), unnamed (+165696)
LYZ	unnamed (-96916), unnamed (-11141)
LYZL1	unnamed (-3486)
LYZL2	unnamed (+182162), unnamed (+182737), unnamed (+189612)
LZTS1	unnamed (+35488)
M1AP	unnamed (+73562)
MAB21L1	unnamed (+313484), unnamed (+314334)
MAB21L2	unnamed (+201978)
MACC1	unnamed (-22235), unnamed (-3885), unnamed (+315), unnamed (+16990), unnamed (+23490), unnamed (+26265), unnamed (+102715), unnamed (+186715)
MACF1	unnamed (+168983), unnamed (+209533), unnamed (+263083), unnamed (+269658), unnamed (+311483), unnamed (+385483), unnamed (+385933)
MAD1L1	unnamed (+9493), unnamed (+16018), unnamed (+60868), unnamed (+84893), unnamed (+89443), unnamed (+92993), unnamed (+106993), unnamed (+124243), unnamed (+129393), unnamed (+134493), unnamed (+135643), unnamed (+200343), unnamed (+220268), unnamed (+223743), unnamed (+226418), unnamed (+228268), unnamed (+229143), unnamed (+235743), unnamed (+237993), unnamed (+285293), unnamed (+369943)
MAD2L1	unnamed (+12824)
MADD	unnamed (+37151), unnamed (+47726), unnamed (+55851)
MAFA	unnamed (-107069)
MAG	unnamed (+3500)
MAGI3	unnamed (-198934), unnamed (-834), unnamed (+191)
MAGOH	unnamed (-83015), unnamed (-47265), unnamed (-37490), unnamed (-7815)
MAJIN	unnamed (-2189)
MAK	unnamed (-570)
MAK16	unnamed (+10000), unnamed (+10550)
MALRD1	unnamed (-388096)
MALT1	unnamed (-31111), unnamed (-9511), unnamed (-6836), unnamed (-1536), unnamed (+1464), unnamed (+2689), unnamed (+5389), unnamed (+7089), unnamed (+10589), unnamed (+11889), unnamed (+13889), unnamed (+15364), unnamed (+16564), unnamed (+18464), unnamed (+22989), unnamed (+25064), unnamed (+26239), unnamed (+27489), unnamed (+30514), unnamed (+32864), unnamed (+35389), unnamed (+36314), unnamed (+38014), unnamed (+39514), unnamed (+41714), unnamed (+44789), unnamed (+46689), unnamed (+47614), unnamed (+48764), unnamed (+51189), unnamed (+52314), unnamed (+52789), unnamed (+53364), unnamed (+54989), unnamed (+63364), unnamed (+63964), unnamed (+68439), unnamed (+120714)
MAML3	unnamed (-2816), unnamed (-2266), unnamed (+1809), unnamed (+180559), unnamed (+183184), unnamed (+418234)
MAN2A1	unnamed (+11084)
MAN2A2	unnamed (+13258)
MAN2B1	unnamed (+3367)
MAN2C1	unnamed (+11670)
MANBA	unnamed (+156644), unnamed (+162894), unnamed (+166244), unnamed (+205869), unnamed (+213469), unnamed (+214594), unnamed (+216369), unnamed (+217644), unnamed (+218744), unnamed (+224719), unnamed (+230219)
MANBAL	unnamed (-21821), unnamed (-5821)
MANEA	unnamed (-1193)
MANF	unnamed (-89372)
MANSC4	unnamed (+23326), unnamed (+41751)
MAP1B	unnamed (+127166)
MAP1LC3B2	unnamed (+113694)
MAP2K1	unnamed (+55383)
MAP2K5	unnamed (+219141)
MAP2K6	unnamed (+777)
MAP3K2	unnamed (+73540)
MAP3K20	unnamed (-534), unnamed (-84), unnamed (+1041), unnamed (+43316), unnamed (+188441), unnamed (+189166)
MAP3K3	unnamed (+42233), unnamed (+44783)
MAP3K4	unnamed (-250034), unnamed (+37391)
MAP3K7	unnamed (+48695)
MAP3K7CL	unnamed (+44648), unnamed (+96673), unnamed (+115323), unnamed (+127948), unnamed (+153098), unnamed (+157323), unnamed (+164373), unnamed (+212798)
MAP3K8	unnamed (-14062), unnamed (-4962), unnamed (-3587), unnamed (+6213), unnamed (+13088), unnamed (+13663)
MAP4	unnamed (-91603), unnamed (+233322)
MAP4K1	unnamed (+3399)
MAP4K3	unnamed (-55838), unnamed (+172512)
MAP4K4	unnamed (-20103), unnamed (+2697), unnamed (+3947), unnamed (+7147), unnamed (+8747), unnamed (+10572), unnamed (+14247), unnamed (+17122), unnamed (+25072), unnamed (+27172), unnamed (+29247), unnamed (+36372), unnamed (+40647), unnamed (+41322), unnamed (+60747), unnamed (+69347), unnamed (+70697), unnamed (+82072), unnamed (+99572), unnamed (+106022), unnamed (+107772), unnamed (+125522), unnamed (+128772), unnamed (+130672), unnamed (+132347), unnamed (+133747), unnamed (+148297), unnamed (+160397), unnamed (+175172), unnamed (+180897)
MAP6D1	unnamed (+114953)
MAP9	unnamed (+1095)
MAPK10	unnamed (-1864), unnamed (-539), unnamed (+79536), unnamed (+343261)
MAPK11	unnamed (-31107), unnamed (-29082), unnamed (-26757), unnamed (-23457), unnamed (-22457)
MAPK13	unnamed (-58196)
MAPK14	unnamed (+44414)
MAPK15	unnamed (-24959)
MAPK1IP1L	unnamed (+17469), unnamed (+22244)
MAPK6	unnamed (+26099), unnamed (+41349)
MAPKBP1	unnamed (-75724), unnamed (+31076)
MAPRE1	unnamed (-27418)
MAPRE2	unnamed (+29090), unnamed (+31090), unnamed (+35065), unnamed (+88415), unnamed (+89665), unnamed (+132865)
MARC1	unnamed (-16084)
MARC2	unnamed (-36984), unnamed (+66), unnamed (+641), unnamed (+22341)
MARCH3	unnamed (+195558), unnamed (+225608)
MARCH4	unnamed (+154377), unnamed (+158127), unnamed (+160827), unnamed (+182952), unnamed (+224402)
MARCH5	unnamed (+5387), unnamed (+195837)
MARCH6	unnamed (+60133), unnamed (+69533)
MARCH7	unnamed (+41951)
MARCH8	unnamed (-118156), unnamed (-106456)
MARCKS	unnamed (-101187), unnamed (-46912)
MARCKSL1	unnamed (+2604)
MARK1	unnamed (+117)
MARK2	unnamed (-12128)
MARK3	unnamed (+37705), unnamed (+59780)
MAST2	unnamed (+5562), unnamed (+20262), unnamed (+24487), unnamed (+38537), unnamed (+39912), unnamed (+58112), unnamed (+171712), unnamed (+206462)
MAST4	unnamed (-429036), unnamed (-428136), unnamed (-425961), unnamed (-425161)
MAT2A	unnamed (+14235)
MAT2B	unnamed (-24798), unnamed (-22823), unnamed (+402452)
MATN2	unnamed (-92883), unnamed (-183)
MATN3	unnamed (-25431)
MATR3	unnamed (+12552), unnamed (+15077)
MAX	unnamed (-216230)
MBD2	unnamed (+4263), unnamed (+5563), unnamed (+6938), unnamed (+15188), unnamed (+18488), unnamed (+20613), unnamed (+25688), unnamed (+31638), unnamed (+36638), unnamed (+37113), unnamed (+39863), unnamed (+40913), unnamed (+49113), unnamed (+51063), unnamed (+55188), unnamed (+59463), unnamed (+75438), unnamed (+76713), unnamed (+104938)
MBIP	unnamed (+464451)
MBL2	unnamed (-43000), unnamed (+334200), unnamed (+334650)
MBNL1	unnamed (+4410), unnamed (+36060), unnamed (+48510), unnamed (+50810), unnamed (+53560), unnamed (+81185), unnamed (+180135), unnamed (+180710), unnamed (+247935)
MBNL2	unnamed (-896), unnamed (+57654), unnamed (+165279), unnamed (+165829)
MBOAT2	unnamed (-487), unnamed (+18813), unnamed (+20938)
MBP	unnamed (+180819), unnamed (+203794), unnamed (+224544)
MBTD1	unnamed (+29766), unnamed (+35566)
MBTPS1	unnamed (+15131)
MC1R	unnamed (-9254)
MCAM	unnamed (+79716)
MCCC2	unnamed (-54972), unnamed (+46753), unnamed (+60153)
MCF2L2	unnamed (-117375), unnamed (-74700)
MCHR1	unnamed (-85225)
MCHR2	unnamed (-234702)
MCM3	unnamed (-67994), unnamed (-66244), unnamed (+10781), unnamed (+11406)
MCM3AP	unnamed (+31022), unnamed (+32897), unnamed (+39347)
MCM4	unnamed (+1439)
MCM6	unnamed (-86149)
MCTP1	unnamed (+611575)
MCTP2	unnamed (-26316), unnamed (+76659), unnamed (+90434), unnamed (+154984)
MCUB	unnamed (-90130), unnamed (+28645)
MDFI	unnamed (-59972), unnamed (-59272)
MDFIC	unnamed (-199904), unnamed (+101946), unnamed (+261646), unnamed (+489621)
MDGA1	unnamed (+140340), unnamed (+142640), unnamed (+144590), unnamed (+146390), unnamed (+147440), unnamed (+149115), unnamed (+150615), unnamed (+151165), unnamed (+151865), unnamed (+152515), unnamed (+153465)
MDM1	unnamed (-149518), unnamed (-123143), unnamed (-119768), unnamed (-118243), unnamed (-116243), unnamed (-115343)
MDM2	unnamed (-5876), unnamed (+90349), unnamed (+94999)
MDN1	unnamed (+128273), unnamed (+130148), unnamed (+144948)
ME2	unnamed (+40591)
MED13L	unnamed (+196163), unnamed (+216063), unnamed (+288588)
MED21	unnamed (+72275), unnamed (+139275), unnamed (+157200), unnamed (+197800), unnamed (+199150)
MED22	unnamed (+1503), unnamed (+1928), unnamed (+2703)
MED25	unnamed (+12386), unnamed (+13186), unnamed (+18161), unnamed (+24861)
MED27	unnamed (+103008)
MED28	unnamed (-14381), unnamed (+15219)
MED30	unnamed (+499062)
MED8	unnamed (+15708)
MEDAG	unnamed (+168459)
MEF2A	unnamed (-88987), unnamed (-70037), unnamed (-63987), unnamed (-62312), unnamed (-60837), unnamed (-55087), unnamed (+1638), unnamed (+62663), unnamed (+91813), unnamed (+92813), unnamed (+106913), unnamed (+108288), unnamed (+110113), unnamed (+127188), unnamed (+137588), unnamed (+143888), unnamed (+150813), unnamed (+151888)
MEF2B	unnamed (+6545), unnamed (+24220)
MEF2C	unnamed (-946972), unnamed (-397222), unnamed (-371097), unnamed (-368897), unnamed (-177297), unnamed (+25028), unnamed (+80653), unnamed (+82853), unnamed (+86628), unnamed (+88428), unnamed (+91203), unnamed (+100353), unnamed (+117178), unnamed (+130353), unnamed (+229478), unnamed (+401403)
MEF2D	unnamed (-50972), unnamed (+24003)
MEGF10	unnamed (-67684)
MEGF11	unnamed (+332647)
MEGF8	unnamed (+34831), unnamed (+44381)
MEGF9	unnamed (-48655)
MELK	unnamed (-145637), unnamed (+30363), unnamed (+64563), unnamed (+67038), unnamed (+69238), unnamed (+286188), unnamed (+308788)
MELTF	unnamed (-153059), unnamed (-149334), unnamed (-146009), unnamed (-111109), unnamed (-109334)
MEMO1	unnamed (+23707), unnamed (+101832), unnamed (+120182), unnamed (+121957)
MESD	unnamed (+14453)
MET	unnamed (-280)
METAP1	unnamed (-57195), unnamed (+31305), unnamed (+32130), unnamed (+33430)
METAP2	unnamed (-224626), unnamed (-214176), unnamed (-203551), unnamed (+19099), unnamed (+31024), unnamed (+35074), unnamed (+35549)
METTL13	unnamed (+4073), unnamed (+19123)
METTL14	unnamed (+72757), unnamed (+81032), unnamed (+119807)
METTL16	unnamed (-59664)
METTL18	unnamed (-79209), unnamed (-65009), unnamed (-57734), unnamed (-1084)
METTL21A	unnamed (+68601), unnamed (+69051)
METTL21C	unnamed (+49579), unnamed (+57504), unnamed (+57679)
METTL2B	unnamed (-17754), unnamed (+24521)
METTL4	unnamed (-2514), unnamed (+32961), unnamed (+36011)
METTL7A	unnamed (-2722), unnamed (-1897)
MEX3B	unnamed (-259)
MFHAS1	unnamed (+71295)
MFN1	unnamed (+44033), unnamed (+57483), unnamed (+64708), unnamed (+84883), unnamed (+102883)
MFN2	unnamed (-13212), unnamed (+10663)
MFNG	unnamed (+5026), unnamed (+5751), unnamed (+10526), unnamed (+13851), unnamed (+16901)
MFRP	unnamed (-10202)
MFSD1	unnamed (+961960)
MFSD10	unnamed (-5267)
