A.TSS2k	H3K27me3	end	NESG.intersect.value	CLL.A34022.CEMT_4.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_AAGCGA.FindER2.bed.remDups.bed.intersect.value	CLL.A34038.CEMT_5.H3K27me3.hg38.bwa-sb.IX2843.C3RULACXX_1_ACCCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A34077.CEMT_6.H3K27me3.hg38.bwa-sb.IX2843.C3RULACXX_1_TGAATG.FindER2.bed.remDups.bed.intersect.value	CLL.A34941.CEMT_26.H3K27me3.hg38.bwa-sb.IX2650.C3THCACXX_4_AAGCGA.FindER2.bed.remDups.bed.intersect.value	CLL.A34948.CEMT_27.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_ACCCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A34955.CEMT_28.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_TGAATG.FindER2.bed.remDups.bed.intersect.value	CLL.A34962.CEMT_29.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_CAACTA.FindER2.bed.remDups.bed.intersect.value	CLL.A35239.CEMT_25.H3K27me3.hg38.bwa-sb.IX2650.C3THCACXX_4_CTCAGA.FindER2.bed.remDups.bed.intersect.value	CLL.A35246.CEMT_30.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_TTAGGC.FindER2.bed.remDups.bed.intersect.value	CLL.A60646.CEMT_94.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_ACCCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A60653.CEMT_95.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_TGAATG.FindER2.bed.remDups.bed.intersect.value	CLL.A60660.CEMT_96.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_CAACTA.FindER2.bed.remDups.bed.intersect.value	CLL.A60667.CEMT_97.H3K27me3.hg38.bwa-sb.IX4419.C9587ANXX_4_TTAGGC.FindER2.bed.remDups.bed.intersect.value	EGAN00001202786_EGAX00001231898_EGAR00001245924_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001272597_EGAR00001300138_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001272594_EGAR00001300135_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001231899_EGAR00001245925_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001234408_EGAR00001248463_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272586_EGAR00001300133_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001364335_EGAR00001401453_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value
chr1	32203661	32207661	ENSG00000160051	0	0	0	0	0	0	0	0	0	1125	0	0	0	1050	375	0	0	525	0	0
chr17	38867859	38871859	ENSG00000002834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2	108532355	108536355	ENSG00000169756	0	0	630	0	600	0	0	0	0	675	0	0	0	0	0	0	0	630	1980	0
chr2	88450656	88454656	ENSG00000214336	3025	2575	3969	2950	2875	2875	3325	3475	3250	3594	3969	4000	3625	4000	4000	4000	4000	4000	4000	4000
chr3	54965088	54969088	ENSG00000144771	1588	1950	2950	2950	2038	2187	2025	1963	2100	2487	2262	3312	3700	2862	2800	2787	3087	3162	3237	3100
chr17	40797959	40801959	ENSG00000173908	1741	1900	3100	2200	1516	2275	2500	1591	2125	3775	3325	4000	3775	3850	4000	4000	4000	4000	4000	4000
chr2	88053729	88057729	ENSG00000172086	0	0	0	0	0	0	0	0	0	675	0	0	79	604	0	0	0	0	0	0
chr19	4300431	4304431	ENSG00000167664	4000	4000	4000	4000	4000	4000	4000	4000	4000	3250	4000	4000	4000	3250	3475	4000	2725	3931	4000	4000
chr17	8756559	8760559	ENSG00000183318	3100	3850	4000	4000	3550	4000	4000	3325	4000	3550	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
chr4	37242220	37246220	ENSG00000174145	3300	3450	4000	3600	3900	3300	3920	3770	3995	4000	4000	4000	4000	4000	4000	4000	4000	3850	4000	4000
chr16	73057698	73061698	ENSG00000140836	102	300	0	1125	300	600	2802	27	1725	1200	1498	2248	750	2800	4000	2950	2248	2125	3400	2575
chr22	25562849	25566849	ENSG00000100077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	6234240	6238240	ENSG00000225077	1390	40	340	40	1540	1315	1765	1690	1315	790	640	640	565	715	415	940	1765	865	565	1915
chr4	70048402	70052402	ENSG00000126550	0	300	1448	525	0	0	0	0	0	0	527	2050	2050	1200	0	825	227	527	1427	923
chr11	64915248	64919248	ENSG00000110046	0	0	0	0	450	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0
chrX	49558876	49562876	ENSG00000236362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	156051794	156055794	ENSG00000160803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr8	17154029	17158029	ENSG00000104219	121	0	0	0	0	0	0	0	0	0	0	0	0	0	1096	600	0	0	346	525
chr14	75062170	75066170	ENSG00000119703	0	0	0	530	905	0	0	530	375	545	1070	0	0	1070	0	0	300	545	470	1295
chr14	67598287	67602287	ENSG00000100564	0	0	1225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0
chr5	177049714	177053714	ENSG00000251666	0	2336	525	0	1436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20	40687240	40691240	ENSG00000204103	4000	2725	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
chr6	99519728	99523728	ENSG00000123552	0	600	0	0	825	0	0	0	450	0	0	0	0	0	0	0	0	0	0	0
chr9	69119264	69123264	ENSG00000119139	361	1186	2700	0	1336	0	0	1036	1936	525	0	0	0	1950	3264	1800	1650	1125	1125	1350
chr19	49673786	49677786	ENSG00000126457	525	0	0	0	525	0	0	0	525	0	0	0	0	0	0	0	0	0	0	0
chr17	78901217	78905217	ENSG00000178404	600	375	0	0	0	0	4000	4000	3850	0	2950	0	0	0	300	0	4000	4000	342	0
chr5	159261081	159265081	ENSG00000164332	0	450	525	0	750	0	450	0	0	600	1119	594	525	219	0	0	0	0	144	0
chr11	59210951	59214951	ENSG00000197629	0	0	576	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0	424
chr19	54311139	54315139	ENSG00000187116	3700	2875	3325	3400	3325	3400	2950	3475	3700	3100	3700	4000	3964	3675	4000	4000	4000	4000	4000	3861
chr16	30191887	30195887	ENSG00000132207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr18	11486570	11490570	ENSG00000267252	2145	3195	4000	2575	3550	3700	3025	3250	4000	2895	3720	4000	3700	3130	3495	4000	4000	4000	4000	2895
chr1	247586360	247590360	ENSG00000177489	1275	1200	2025	375	1350	825	0	1125	1425	1800	2685	4000	2275	1690	2085	1465	1110	2310	1575	2610
chr16	60357480	60361480	ENSG00000278499	645	870	3120	0	795	795	795	270	0	1950	3075	2745	2800	0	300	0	0	0	280	0
chr20	58307696	58311696	ENSG00000124209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr5	132554019	132558019	ENSG00000113522	1206	1131	0	900	1356	1131	381	1656	981	1200	750	0	1200	0	0	1131	0	375	525	0
chr16	34158036	34162036	ENSG00000256642	1950	2086	1186	0	1575	2025	0	1500	750	3211	3136	1936	1711	2400	1411	1125	1411	1561	750	3436
chr14	94477689	94481689	ENSG00000170054	0	2164	3625	2389	1114	2914	1950	375	2989	2839	3964	4000	3925	2689	2014	3139	3550	4000	4000	2989
chr1	152157228	152161228	ENSG00000215853	0	0	3853	2725	600	1797	1275	0	2350	3250	4000	3625	3250	4000	3972	4000	4000	4000	4000	3147
chr4	4842437	4846437	ENSG00000273396	4000	4000	3700	3550	4000	4000	4000	4000	4000	4000	4000	4000	4000	3775	3775	4000	3625	3700	3775	4000
chrX	46757172	46761172	ENSG00000065923	0	850	922	525	0	1597	0	397	697	0	0	0	0	1200	0	397	0	0	375	0
chr2	162316840	162320840	ENSG00000115271	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0
chr14	94079245	94083245	ENSG00000089737	0	0	1275	0	0	0	0	0	0	0	0	0	1200	0	0	845	0	0	975	0
chrX	72571103	72575103	ENSG00000147099	825	922	378	0	1200	525	1050	2047	825	303	1578	1728	603	753	1725	1728	753	753	1728	603
chr20	10672107	10676107	ENSG00000101384	4000	3775	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
chr19	38287151	38291151	ENSG00000267748	0	124	876	0	1125	750	0	0	0	0	351	0	0	900	0	0	0	300	0	0
chr5	84382793	84386793	ENSG00000164176	2782	2707	3082	2932	2857	2932	3082	2857	3082	3532	3082	4000	4000	4000	4000	4000	4000	4000	4000	4000
chr20	19210646	19214646	ENSG00000185052	3304	2725	4000	3325	3454	3550	3850	3625	4000	4000	4000	4000	3775	4000	4000	4000	4000	4000	4000	4000
chr6	87700209	87704209	ENSG00000135334	0	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr6	31664283	31668283	ENSG00000204438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chrX	72941814	72945814	ENSG00000269502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr8	90093475	90097475	ENSG00000104327	1175	2350	2150	1625	1925	2800	1100	2125	1175	1475	1075	950	900	725	425	500	50	575	1500	125
chr9	21140145	21144145	ENSG00000177047	0	600	2625	375	675	525	0	0	1500	975	300	1230	0	600	0	450	525	2505	0	0
chr16	68528090	68532090	ENSG00000184939	300	975	0	300	685	10	85	0	0	0	460	0	375	0	675	450	300	0	1125	0
chr10	45670780	45674780	ENSG00000172671	0	380	525	230	5	0	0	0	0	375	375	0	0	0	5	375	0	0	450	0
chr13	62321657	62325657	ENSG00000229307	0	375	1618	0	0	0	375	0	0	1200	1393	1993	1468	450	600	2668	568	1525	1993	582
chr10	49760379	49764379	ENSG00000197444	2425	2650	4000	3850	2346	3325	3475	3175	3775	3846	3921	3621	4000	4000	3846	4000	4000	3925	4000	4000
chr10	49113509	49117509	ENSG00000165633	3850	3550	4000	3400	3925	3775	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
chr1	42461330	42465330	ENSG00000186409	30	550	480	105	330	0	0	105	180	0	0	675	0	0	0	0	0	300	0	0
chr1	155608205	155612205	ENSG00000125459	0	0	0	70	600	600	0	445	0	0	0	0	0	445	0	0	0	0	70	0
chr12	55930618	55934618	ENSG00000170473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr5	147868682	147872682	ENSG00000164265	1500	3418	2575	2743	2950	3493	3550	1768	2275	3043	2607	3100	1843	375	900	525	825	0	825	900
chr11	10302680	10306680	ENSG00000148926	4000	1870	1420	670	3625	3550	4000	250	4000	3250	4000	4000	2575	4000	4000	4000	3625	3700	1870	3555
chr1	67428415	67432415	ENSG00000142864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr4	120065074	120069074	ENSG00000164109	0	0	825	0	0	0	0	0	0	450	0	0	450	0	0	0	0	0	0	0
chr17	41863431	41867431	ENSG00000178502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	675	0
chr17	32140454	32144454	ENSG00000126858	525	346	0	600	675	0	0	300	450	0	0	121	0	346	0	375	0	1321	421	0
chr2	28868301	28872301	ENSG00000171103	676	1351	0	151	676	301	1126	1126	751	1	301	0	0	300	600	0	0	0	0	0
chr15	40403795	40407795	ENSG00000128928	0	0	0	0	675	0	0	0	280	0	0	0	0	0	0	0	0	0	450	0
chr11	47405132	47409132	ENSG00000165915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr17	7232545	7236545	ENSG00000004975	0	825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12	65276643	65280643	ENSG00000174099	2100	0	2050	1650	2250	0	2443	2368	2293	2982	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
chr20	3784690	3788690	ENSG00000125817	0	375	0	0	675	0	0	0	0	900	900	0	450	0	0	0	0	0	0	0
chr14	24428954	24432954	ENSG00000139899	0	0	0	0	0	0	0	0	0	579	825	0	0	0	571	0	0	0	46	0
chr19	47272453	47276453	ENSG00000257704	0	0	0	0	0	0	0	0	0	675	278	0	0	0	300	422	0	0	825	0
chr4	109800179	109804179	ENSG00000205403	646	1179	2050	2275	1029	1329	2200	700	2200	1825	2229	2500	3325	3175	3025	2200	1779	3250	3775	1450
chr2	186484156	186488156	ENSG00000065548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12	107759272	107763272	ENSG00000110851	347	0	0	0	347	0	675	0	0	0	0	0	0	0	0	497	0	0	675	0
chr1	161223939	161227939	ENSG00000158882	0	675	375	0	1050	975	1461	525	1050	186	0	0	0	561	36	636	636	636	711	636
chr6	130363425	130367425	ENSG00000164483	2400	1500	3400	2250	2175	2475	2700	2475	2550	4000	4000	4000	4000	4000	3850	4000	4000	4000	4000	4000
chr2	230219721	230223721	ENSG00000280755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr16	85896803	85900803	ENSG00000140968	0	0	300	397	322	0	0	450	300	0	0	0	697	0	825	450	0	172	1147	0
chr6	131699401	131703401	ENSG00000180658	375	525	825	0	900	0	600	750	375	0	0	0	0	0	0	0	0	0	0	0
chr19	19536248	19540248	ENSG00000160161	1998	2298	2673	2148	3573	2748	2298	3648	3048	2823	2973	3123	3348	3273	3250	2950	3198	3048	3273	3423
chr5	156658435	156662435	ENSG00000279646	0	0	450	0	0	0	0	0	0	0	375	525	0	0	0	0	0	0	0	0
chr19	1444302	1448302	ENSG00000115266	2377	1150	3550	3175	2875	4000	3625	4000	3775	3502	3202	2977	3052	4000	3400	3577	3802	3502	4000	4000
chr1	47994895	47998895	ENSG00000269113	3250	3100	4000	3475	3325	3700	3850	3775	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
chr2	119677167	119681167	ENSG00000144120	450	375	0	0	375	0	1200	450	450	292	525	0	0	600	1200	0	450	0	525	0
chr21	46456899	46460899	ENSG00000160305	0	576	0	0	300	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0
chr2	120221408	120225408	ENSG00000226479	600	0	0	0	558	0	0	0	525	600	258	0	0	675	633	1800	0	0	300	0
chrX	154180596	154184596	ENSG00000268221	0	0	0	0	675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	198154963	198158963	ENSG00000151414	0	0	0	0	450	0	0	525	0	0	0	0	212	0	0	525	0	0	287	0
chr5	55020671	55024671	ENSG00000164283	1725	1896	2500	2875	2025	2571	2496	2196	2125	3100	3475	4000	2950	2200	2575	3400	4000	4000	3100	4000
chr1	176205493	176209493	ENSG00000143207	0	0	0	0	900	0	0	0	0	0	0	0	107	0	0	0	0	0	525	0
chr1	103748406	103752406	ENSG00000187733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr6	123635093	123639093	ENSG00000186439	0	0	1057	0	0	0	0	0	0	375	1125	2493	2482	1368	1275	2025	2325	1050	1293	525
chr17	49406209	49410209	ENSG00000281126	0	525	0	0	884	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0
chr4	88696235	88700235	ENSG00000177432	0	300	675	0	0	0	0	300	0	1650	375	300	0	600	0	525	0	0	0	0
chr6	41040554	41044554	ENSG00000112212	0	1450	675	0	1000	121	0	279	804	1396	1350	0	429	1575	825	375	0	0	0	0
chr4	73834497	73838497	ENSG00000124875	1200	1350	1725	375	1425	900	1050	750	1350	1950	3097	2797	2347	2250	2175	2272	1950	2197	2197	2122
chr3	39152562	39156562	ENSG00000144655	0	900	0	0	1650	0	1500	0	0	213	450	600	0	562	0	0	0	450	825	0
chr8	22691302	22695302	ENSG00000179388	0	0	0	0	848	0	0	0	0	1523	2048	0	0	3025	3923	2423	0	0	1898	0
chr3	23944591	23948591	ENSG00000197885	0	0	41	0	675	0	0	0	0	750	300	0	0	0	750	0	0	0	0	0
chr5	175442208	175446208	ENSG00000184845	4000	3550	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
chr1	101234888	101238888	ENSG00000170989	0	0	0	0	0	0	3438	0	0	0	4000	0	0	0	825	0	0	0	0	0
chr6	151654691	151658691	ENSG00000091831	409	409	1009	259	484	334	409	409	334	1009	2050	2875	2875	3775	3409	3550	2500	4000	4000	4000
chr7	2629951	2633951	ENSG00000136295	0	524	300	0	524	450	1199	0	1274	749	224	674	0	824	1424	2174	3899	899	149	1424
chr6	39320968	39324968	ENSG00000095981	3325	3625	4000	3550	3400	3250	3550	2950	3550	4000	4000	4000	4000	4000	4000	4000	3932	4000	3625	4000
chr12	102955686	102959686	ENSG00000139352	4000	300	4000	3850	4000	0	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
chr19	29921644	29925644	ENSG00000105176	0	2681	2531	1781	2006	4000	4000	3550	4000	3700	2606	2650	2756	4000	3344	450	4000	4000	3775	3550
chr11	27504773	27508773	ENSG00000148943	0	0	0	0	525	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11	5687689	5691689	ENSG00000132274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr17	44002469	44006469	ENSG00000131096	3406	1531	3931	3406	3481	3931	4000	3856	4000	4000	3625	4000	3250	3550	4000	4000	4000	3400	3631	4000
chr1	59812786	59816786	ENSG00000134709	1275	0	86	1350	0	1425	0	0	0	2475	0	750	3161	3314	600	1125	2950	4000	1214	914
chr12	48181584	48185584	ENSG00000177875	1084	0	1909	1675	1384	0	3175	2209	3100	3625	4000	4000	3625	4000	4000	4000	4000	3325	4000	4000
chr15	78297794	78301794	ENSG00000140395	900	900	0	1119	1575	375	1944	1050	825	0	69	0	0	375	525	294	750	819	0	450
chr22	17264733	17268733	ENSG00000241832	4000	1575	508	750	1500	2833	4000	2775	3958	0	375	825	375	3100	3475	2442	2575	4000	0	0
chr6	154008496	154012496	ENSG00000112038	0	375	254	0	0	0	0	0	0	854	404	1379	2654	2879	554	1425	3325	1979	1079	2050
chr14	67814590	67818590	ENSG00000072121	0	140	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	228485061	228489061	ENSG00000168159	114	1300	0	0	1089	189	1239	1389	114	0	189	450	0	0	39	0	0	0	0	600
chr14	19918582	19922582	ENSG00000176281	0	0	968	525	0	0	600	0	707	600	1275	3668	4000	3175	3625	2875	2950	3400	4000	3550
chr13	20901048	20905048	ENSG00000132953	523	750	0	0	1723	448	223	925	0	0	0	0	223	300	1575	0	0	0	300	0
chr8	12943642	12947642	ENSG00000250305	675	1125	3767	1425	1200	600	525	900	1275	3475	3475	4000	3700	3475	2942	3017	3317	4000	2950	3692
chr16	3609728	3613728	ENSG00000213918	0	0	375	525	0	0	0	0	0	0	0	0	675	0	0	0	0	0	0	0
chr4	121695113	121699113	ENSG00000164111	300	0	2163	450	300	750	1275	0	975	675	1788	525	288	1563	2250	300	600	600	2163	2088
chr19	35664516	35668516	ENSG00000105668	916	1441	1891	91	1509	616	1516	1450	0	0	466	1591	0	1125	466	466	1066	1741	2866	1291
chr3	32568874	32572874	ENSG00000144635	0	0	1049	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	825	0
chr15	53760878	53764878	ENSG00000166415	997	1072	3097	1147	1222	1747	1822	1147	1897	0	1447	3325	3250	3250	3625	3325	2722	4000	3775	4000
chr7	73326082	73330082	ENSG00000146755	2207	1682	2357	2357	2282	2057	1607	2950	1607	1232	1682	1575	0	1907	2282	1457	2057	632	1200	1682
chr13	76946497	76950497	ENSG00000102794	2078	2950	3175	2597	2228	2800	2800	2303	3025	3925	3475	4000	4000	4000	3625	4000	4000	4000	4000	4000
chr20	13006979	13010979	ENSG00000172296	1200	1350	2950	1554	900	600	1425	825	1404	2550	3025	3721	2446	4000	2904	3625	3121	3700	4000	2746
chr17	51163435	51167435	ENSG00000243678	0	600	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	600	0
chr5	69413112	69417112	ENSG00000152939	600	1263	825	0	2313	0	0	813	375	825	0	0	0	1125	1200	675	750	1125	1125	825
chr19	13904452	13908452	ENSG00000132016	0	0	248	0	550	0	0	0	0	0	0	0	0	0	0	825	0	0	0	0
chr20	3818524	3822524	ENSG00000125843	0	0	0	0	326	0	0	0	0	626	300	0	0	0	375	0	0	0	251	401
chr12	119875291	119879291	ENSG00000122966	116	0	1316	191	1900	0	266	2200	1075	566	600	116	600	1016	1616	491	116	341	1541	491
chr22	37049736	37053736	ENSG00000100379	864	825	0	0	939	0	1050	0	975	0	586	375	0	1875	750	1786	1275	2086	2175	0
chr15	43666118	43670118	ENSG00000166762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr5	140792852	140796852	ENSG00000204969	1725	1650	2125	900	975	1200	900	1800	1575	3027	3850	4000	3550	4000	4000	3925	4000	3850	2998	4000
chr4	73986197	73990197	ENSG00000163736	0	450	1275	600	975	825	600	750	675	1425	2128	2697	2325	2397	900	2547	1122	3100	2800	3703
chrX	136495079	136499079	ENSG00000102241	0	525	0	0	0	0	0	0	0	0	0	0	0	0	0	1950	300	0	375	525
chr14	69572837	69576837	ENSG00000267909	4000	3012	4000	3612	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
chr8	21917671	21921671	ENSG00000130227	104	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19	12161064	12165064	ENSG00000196646	411	561	0	111	861	0	111	261	486	0	0	0	0	561	375	0	0	0	0	0
chr16	31469585	31473585	ENSG00000140682	3735	3550	3585	2985	3925	3585	3735	3735	3435	3285	3060	3325	3135	2835	2985	3135	2610	3450	3585	2610
chr1	46671867	46675867	ENSG00000123472	0	450	142	450	450	0	0	0	0	600	1050	0	0	0	0	0	0	183	0	0
chrX	88745225	88749225	ENSG00000147183	400	1150	600	0	1150	0	675	1450	0	825	1675	1650	525	0	1350	600	675	1500	975	675
chr17	40646508	40650508	ENSG00000073584	0	283	0	450	375	0	0	0	0	0	0	0	0	300	0	0	0	0	450	0
chr8	36782324	36786324	ENSG00000215262	0	376	2176	601	1201	0	0	76	1576	1876	2401	2851	3775	976	1651	975	2926	3249	2400	1975
chr17	75107952	75111952	ENSG00000125449	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr3	169767895	169771895	ENSG00000184378	0	0	675	0	0	0	0	0	0	530	230	0	0	980	0	0	0	0	0	0
chr16	58293080	58297080	ENSG00000181938	4000	3255	2395	1425	3930	3630	4000	4000	4000	3550	2095	3550	3070	3370	3295	2920	4000	3550	3250	2470
chr9	135959380	135963380	ENSG00000130560	305	1655	300	1280	1525	1525	1655	550	1355	755	1130	1055	1130	1430	1805	1355	0	605	2255	1280
chr2	3517736	3521736	ENSG00000182551	0	0	64	0	300	0	0	139	0	0	0	0	0	525	0	450	0	0	0	0
chr19	38317844	38321844	ENSG00000099337	481	0	450	0	2881	0	406	600	0	0	300	0	0	0	600	0	0	1194	825	0
chr10	124742269	124746269	ENSG00000189319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19	48319509	48323509	ENSG00000142227	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0
chr16	89086375	89090375	ENSG00000176715	1325	800	2525	950	1625	3425	2750	3550	3100	2425	850	2275	2150	3250	2000	2525	2725	1775	3475	3775
chr8	57992509	57996509	ENSG00000169122	2741	1691	2816	2516	2141	2291	3191	2891	2516	3775	3475	4000	3400	4000	3400	4000	3884	3625	3775	4000
chr1	155242699	155246699	ENSG00000177628	0	0	450	0	476	0	0	176	375	1200	450	750	675	0	600	0	0	0	0	0
chr14	69151150	69155150	ENSG00000139990	0	0	0	275	0	0	0	0	275	0	0	0	0	0	450	450	0	0	350	0
chr6	26232933	26236933	ENSG00000124575	2008	0	1600	2650	2200	3250	1750	2800	3175	1750	1375	4000	0	4000	3550	4000	3625	3625	3850	4000
chr4	2961608	2965608	ENSG00000125388	483	558	300	0	258	0	0	558	0	333	1758	0	900	1050	1758	1458	0	1833	1683	1233
chr1	235502481	235506481	ENSG00000162885	375	69	0	1194	669	600	0	444	1125	144	0	2050	0	519	375	1044	0	2056	556	0
chrX	104110131	104114131	ENSG00000166707	331	631	0	375	0	1006	1050	106	600	0	0	0	0	0	450	1794	631	0	0	0
chrX	155380115	155384115	ENSG00000274791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	225922340	225926340	ENSG00000143811	390	0	0	375	450	0	840	1140	600	235	310	0	0	0	0	600	0	0	0	375
chr3	38037205	38041205	ENSG00000008226	1225	2050	1520	980	2650	1375	155	2425	1825	2120	3620	1900	1745	2125	2725	2050	2350	1150	2125	1745
chr9	73078442	73082442	ENSG00000165092	1800	1125	675	1275	1950	1575	1200	1725	2025	0	1650	1675	2008	1017	1575	2175	1783	2275	2158	675
chr17	74746652	74750652	ENSG00000109062	0	0	0	0	0	0	0	0	0	2100	525	0	0	1077	1800	675	1200	0	0	0
chr8	132773358	132777358	ENSG00000129292	0	0	0	0	0	0	0	0	0	0	0	192	717	192	117	0	450	1092	342	642
chrM	12673	16673	ENSG00000198695	1802	2175	1052	1050	1577	1875	2327	900	2025	0	1802	1200	0	0	0	0	0	0	0	0
chr1	23836620	23840620	ENSG00000117305	1720	375	750	670	1420	600	1645	1795	0	1575	1500	1605	600	855	450	600	450	525	675	895
chr14	67531739	67535739	ENSG00000198133	2739	3564	3250	4000	3264	3625	4000	4000	4000	3714	3789	4000	3714	3475	4000	4000	3736	4000	4000	4000
chr4	70332966	70336966	ENSG00000145309	0	0	900	300	0	0	0	0	0	825	1050	1200	2116	1125	375	1425	1725	1050	391	0
chr16	84185070	84189070	ENSG00000103168	525	895	520	750	1425	450	745	0	0	255	0	0	0	1045	0	0	0	0	220	0
chr17	19865936	19869936	ENSG00000083290	3700	2575	3636	3936	3550	4000	0	3936	3561	2511	600	4000	0	1086	2175	2950	4000	4000	2436	3625
chr17	41032855	41036855	ENSG00000221880	2175	1800	2700	2250	2250	2100	2400	2325	2100	2630	2855	3625	4000	4000	3755	3250	3475	4000	4000	2855
chr22	24553503	24557503	ENSG00000100028	0	0	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr3	49365006	49369006	ENSG00000235908	0	375	0	0	2350	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0
chr15	74824547	74828547	ENSG00000213578	3625	2697	2922	2472	3475	3072	4000	3297	3850	0	4000	4000	4000	4000	4000	4000	3775	4000	4000	3250
chr22	40855077	40859077	ENSG00000196236	0	0	0	0	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12	54495711	54499711	ENSG00000123338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0
chr12	26119991	26123991	ENSG00000123096	1725	0	2100	1575	1575	0	891	2316	2175	3366	3441	4000	2725	3775	4000	4000	4000	4000	3475	4000
